drive_id,pred_efficiency_ml,duration_min,distance_km,source_file,efficiency_algo,abs_err,sqr_err,residual
1,69.54269003243357,2.4585424666666666,2.4165235763888893,obd_data_log_20250928_132843.csv,62.54537333058509,6.997316701848476,48.962441025967635,6.997316701848476
2,69.54269003243355,3.1347869833333335,2.4164559580555562,obd_data_log_20250928_133839.csv,72.45441614102045,2.9117261085868904,8.478148931426556,-2.9117261085868904
3,69.54269003243355,3.337046116666666,2.4176470200000004,obd_data_log_20250928_134530.csv,78.51152455848751,8.968834526053953,80.43999275573745,-8.968834526053953
4,69.54269003243357,2.70457505,2.415658229166667,obd_data_log_20250928_135249.csv,66.73214770085927,2.810542331574297,7.899148197571084,2.810542331574297
5,69.54269003243355,3.3642252666666668,2.419536091666667,obd_data_log_20250928_135923.csv,76.74890204608924,7.206212013655687,51.92949158575555,-7.206212013655687
6,69.54269003243357,3.700276516666667,2.4164775383333335,obd_data_log_20250928_140658.csv,78.3693419567658,8.826651924332225,77.90978419331778,-8.826651924332225
7,69.54269003243357,3.2996344333333334,2.419647911388889,obd_data_log_20250928_141341.csv,77.86290623798695,8.320216205553379,69.22599770715307,-8.320216205553379
8,69.54269003243358,2.4048972333333336,2.4238379747222223,obd_data_log_20250928_142002.csv,60.52597000179342,9.016720030640165,81.30124011094759,9.016720030640165
9,69.54269003243357,3.2782978000000003,2.4133442219444445,obd_data_log_20250928_142511.csv,77.1592449334175,7.616554900983928,58.0119085597023,-7.616554900983928
10,69.54269003243357,2.692064966666666,2.423478881111111,obd_data_log_20250928_143135.csv,62.33647801877791,7.206212013655659,51.929491585755144,7.206212013655659
