timestamp,RPM,SPEED,THROTTLE_POS,MAF,ENGINE_LOAD,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_1,LONG_FUEL_TRIM_2,driving_style,Fuel consumed (total),Fuel Efficiency (L/100KM),RoadType
2025-09-04T14:20:45.009340,759,0,12.15686275,3.55,1.568627451,26,-0.78125,-0.78125,17.96875,3.125,,0.3224,12.4,Local
2025-09-04T14:20:47.498017,757.75,0,12.15686275,3.47,1.568627451,27,-0.78125,-0.78125,17.96875,3.125,,0.3224,12.4,Local
2025-09-04T14:20:48.860247,758.75,0,12.15686275,3.51,1.568627451,27,-0.78125,-0.78125,17.96875,3.125,,0.3224,12.4,Local
2025-09-04T14:20:49.515215,758.75,0,12.15686275,3.51,1.568627451,27,-0.78125,-0.78125,17.96875,3.125,,0.3224,12.4,Local
2025-09-04T14:20:50.166795,970,0,18.43137255,18.86,9.411764706,78,-0.78125,-0.78125,17.96875,3.125,,0.3224,12.4,Local
2025-09-04T14:20:50.998487,970,0,18.43137255,18.86,9.411764706,78,-0.78125,-0.78125,17.96875,3.125,Normal,0.3224,12.4,Local
2025-09-04T14:20:51.650607,1460.5,14,22.35294118,29.56,9.411764706,78,-0.78125,-0.78125,17.96875,3.125,Normal,0.3224,12.4,Local
2025-09-04T14:20:52.304387,1460.5,14,22.35294118,29.56,9.411764706,78,-0.78125,-0.78125,17.96875,3.125,Normal,0.3224,12.4,Local
2025-09-04T14:20:52.957888,2674.25,23,16.47058824,12.11,6.666666667,36,-0.78125,-0.78125,17.96875,3.125,Normal,0.3224,12.4,Local
2025-09-04T14:20:53.786257,2674.25,23,16.47058824,12.11,6.666666667,36,-0.78125,-0.78125,17.96875,3.125,Normal,0.3224,12.4,Local
2025-09-04T14:20:54.437676,2024,28,16.07843137,11.49,6.666666667,36,0,0,7.8125,2.34375,Normal,0.3224,12.4,Local
2025-09-04T14:20:55.548505,2024,28,16.07843137,11.49,6.666666667,36,0,0,7.8125,2.34375,Normal,0.3224,12.4,Local
2025-09-04T14:20:56.200651,1985.5,25,14.11764706,7.71,3.921568627,22,0,0,7.8125,2.34375,Normal,0.3224,12.4,Local
2025-09-04T14:20:57.034276,1985.5,25,14.11764706,7.71,3.921568627,22,0,0,7.8125,2.34375,Normal,0.3224,12.4,Local
2025-09-04T14:20:57.688453,1607.25,21,13.7254902,5.86,3.921568627,22,0,0,7.8125,2.34375,Normal,0.3224,12.4,Local
