timestamp,RPM,SPEED,THROTTLE_POS,MAF,ENGINE_LOAD,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_1,LONG_FUEL_TRIM_2,driving_style,Fuel consumed,Fuel Efficiency (L/100KM),RoadType
2025-09-04T14:45:55.788251,1329.75,36,12.15686275,4.63,1.960784314,23,-2.34375,-11.71875,7.03125,0,Normal,0.3534,11.4,Main
2025-09-04T14:45:58.181525,682.25,28,12.54901961,4.34,1.960784314,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:45:59.562074,821.75,20,12.15686275,4.11,1.960784314,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:00.213313,821.75,20,12.15686275,4.11,1.960784314,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:00.868437,767,13,12.15686275,3.68,1.960784314,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:01.701887,767,13,12.15686275,3.68,1.960784314,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:02.357006,739.75,4,12.15686275,3.88,1.960784314,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:03.012129,739.75,4,12.15686275,3.88,1.960784314,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:03.663725,779.25,0,12.15686275,3.49,1.568627451,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:04.491949,779.25,0,12.15686275,3.49,1.568627451,27,0,-2.34375,8.59375,0,Normal,0.3534,11.4,Main
2025-09-04T14:46:05.145548,776.5,0,12.15686275,3.94,1.568627451,27,2.34375,0,12.5,1.5625,Normal,0.3534,11.4,Main
2025-09-04T14:46:06.244428,776.5,0,12.15686275,3.94,1.568627451,27,2.34375,0,12.5,1.5625,Normal,0.3534,11.4,Main
2025-09-04T14:46:06.899563,761.5,0,12.15686275,3.69,1.960784314,27,2.34375,0,12.5,1.5625,Normal,0.3534,11.4,Main
