timestamp,RPM,SPEED,THROTTLE_POS,MAF,ENGINE_LOAD,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_1,LONG_FUEL_TRIM_2,driving_style,Fuel consumed,Fuel Efficiency (L/100KM),RoadType
2025-09-04T15:02:24.611483,825.75,5,12.15686275,3.66,1.960784314,27,2.34375,0,14.0625,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:27.135220,757.75,0,12.15686275,3.36,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:28.565271,746.25,0,12.15686275,3.53,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:29.216489,746.25,0,12.15686275,3.53,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:29.870033,767,0,12.15686275,3.43,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:30.720716,767,0,12.15686275,3.43,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:31.375792,744,0,12.15686275,3.51,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:32.029437,744,0,12.15686275,3.51,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:32.680852,748.75,0,12.15686275,3.44,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:33.516009,748.75,0,12.15686275,3.44,1.568627451,26,2.34375,0,14.84375,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:34.170251,751.5,0,12.15686275,3.47,1.568627451,26,0,0,16.40625,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:35.278185,751.5,0,12.15686275,3.47,1.568627451,26,0,0,16.40625,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:35.933304,741,0,12.15686275,3.46,1.568627451,27,0,0,16.40625,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:36.787769,741,0,12.15686275,3.46,1.568627451,27,0,0,16.40625,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:37.442879,746.75,0,12.15686275,3.45,1.568627451,27,0,0,16.40625,2.34375,Passive,0.4216,13.6,Main
2025-09-04T15:02:38.097969,746.75,0,12.15686275,3.45,1.568627451,27,0,0,16.40625,2.34375,Passive,0.4216,13.6,Main
